epoch;acc;loss;val_acc;val_loss
0;0.8753734539130585;0.33176638445619383;0.5;5.779112815856934
1;0.9675144259683545;0.08238758146145814;0.5;7.0728068351745605
2;0.9822876649410665;0.051897751880764745;0.7222222089767456;1.8380781412124634
3;0.9829023285639747;0.042592248910324274;0.7222222089767456;2.403956890106201
4;0.9865355842208781;0.0343430298775592;0.5555555820465088;1.9915071725845337
5;0.9884763115041539;0.03325601682549609;0.8333333134651184;0.9416356682777405
6;0.9933746522194964;0.02300628596949214;0.8333333134651184;0.8194068670272827
7;0.9854886891543738;0.0377275917119717;0.7222222089767456;1.3351243734359741
8;0.9950844192892141;0.014527097992622721;0.7777777910232544;0.7466902732849121
9;0.9927334896416;0.017708912362919563;0.8333333134651184;1.0053695440292358
10;0.9944515574629674;0.016254646519282833;0.8333333134651184;0.5425623059272766
11;0.9950844194038629;0.017272739374145564;0.7222222089767456;0.6085594892501831
12;0.9987195900399309;0.003826217581715172;0.6666666865348816;1.400431752204895
13;0.9952981400550953;0.013554652804120186;0.7222222089767456;0.9383005499839783
14;0.992092326681541;0.020892083026590152;0.8888888955116272;0.7021822929382324
15;0.9972257788014423;0.007437712452789001;0.7777777910232544;0.9453938007354736
16;0.9952981402589154;0.014826196826483456;0.6111111044883728;2.2856016159057617
17;0.9972257785724871;0.006530968594287423;0.9444444179534912;0.4708205759525299
18;0.9965804656822219;0.00827566971382298;0.9444444179534912;0.6957263946533203
19;0.9948706985233329;0.015209729032016128;0.7222222089767456;1.8997061252593994
20;0.9978659836669992;0.008548519937328344;0.8888888955116272;0.9256575703620911
21;0.9978627910800509;0.00696860078692508;0.8333333134651184;0.9265406131744385
22;0.9942381556375994;0.014988781364447321;0.7777777910232544;0.5380397439002991
23;0.998290232841111;0.005336226251507721;0.8333333134651184;0.74539715051651
